subID,BIS1,BIS2,BIS3,BIS4,BIS5,BIS6,BIS7,BIS8,BIS9,BIS10,BIS11,BIS12,BIS13,BIS14,BIS15,BIS16,BIS17,BIS18,BIS19,BIS20,BIS21,BIS22,BIS23,BIS24,BIS25,BIS26,BIS27,BIS28,BIS29,BIS30,BIS_score,BFI1,BFI2,BFI3,BFI4,BFI5,BFI6,BFI7,BFI8,BFI9,BFI10,BFI11,BFI12,BFI13,BFI14,BFI15,BFI16,BFI17,BFI18,BFI19,BFI20,BFI21,BFI22,BFI23,BFI24,BFI25,BFI26,BFI27,BFI28,BFI29,BFI30,BFI31,BFI32,BFI33,BFI34,BFI35,BFI36,BFI37,BFI38,BFI39,BFI40,BFI41,BFI42,BFI43,BFI44,BFI_C_score,P_Q1TP,P_Q2RCS,P_Q3RTP,P_Q4RCS,P_Q5CS,P_Q6RMF,P_Q7TP,P_Q8CS,P_Q9MF,P_Q10RMF,P_Q11RTP,P_Q12RCS,P_Q13RMF,P_Q14TP,P_Q15CS,P_Q16MF,P_Q17CS,P_Q18RCS,P_Q19MF,P_Q20RTP,P_Q21RCS,P_Q22RMF,P_Q23TP,P_Q24MF,P_QR25TP,P_Q26CS,P_Q27MF,P_Q28TP,P_Q29RMF,P_Q30RTP,Planfulness_score,annualincome,threshold,minincome,maxincome,adj_inc,INR
165,2,1,3,3,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,1,2,3,1,2,2,1,2,1,1.666666667,5,3,4,2,2,1,5,4,4,4,5,2,5,2,4,4,5,5,2,2,1,4,5,4,2,4,2,4,3,4,2,5,4,4,3,5,2,4,1,4,4,4,4,3,3.454545455,4,4,4,3,5,4,4,3,4,4,4,4,3,4,4,3,4,4,4,4,2,4,3,4,3,4,4,2,4,4,3.7,"$350,000-$399,999",29854,350000,4.00E+05,375000,12.56113084
166,2,2,3,3,2,4,1,2,2,1,2,3,1,2,2,1,2,1,3,2,1,1,1,2,1,2,2,1,1,1,1.8,2,4,5,1,4,5,5,4,4,5,3,2,5,4,4,2,4,5,3,4,4,2,5,4,4,3,4,4,2,4,4,4,5,4,5,3,3,4,5,4,5,5,4,4,3.863636364,4,4,2,4,4,4,5,4,4,4,5,4,4,3,4,3,5,5,4,4,4,5,4,4,4,3,4,4,4,4,4,"$110,000-$119,999",16072,110000,120000,115000,7.155301145
167,2,2,1,2,1,2,3,4,3,4,3,3,4,2,3,3,4,3,2,3,1,2,1,3,2,2,3,2,2,4,2.533333333,4,4,5,5,4,3,4,4,1,4,2,1,4,4,5,1,5,4,5,4,1,5,2,2,4,5,2,4,4,4,3,5,4,4,1,5,2,4,3,3,4,5,4,4,3.568181818,4,3,2,2,2,1,1,4,3,2,3,1,2,4,2,1,3,1,4,3,3,2,3,3,2,4,2,2,2,3,2.466666667,"$50,000 - $59,999",24755,50000,60000,55000,2.221773379
168,1,2,2,1,2,3,1,2,3,1,1,2,2,2,1,3,3,2,3,1,1,2,1,2,1,2,2,1,1,1,1.733333333,1,4,4,5,5,5,4,2,1,5,2,1,4,5,5,4,4,2,5,4,4,4,4,4,4,1,5,4,5,5,5,4,5,4,4,2,4,4,5,3,2,4,1,4,3.704545455,5,2,2,4,5,2,4,4,2,1,5,4,5,3,4,4,5,4,5,4,5,5,4,4,2,5,2,5,1,4,3.7,"$100,000 - $109,999",16072,1.00E+05,110000,105000,6.533101045
169,3,3,3,1,1,2,2,3,3,4,1,3,4,2,4,2,3,2,2,3,1,2,1,1,2,3,1,1,2,3,2.266666667,1,2,4,4,2,5,3,4,4,4,1,1,5,1,3,1,3,5,2,1,4,4,4,4,1,4,4,3,3,3,4,3,4,4,4,2,2,4,3,3,4,4,4,2,3.113636364,4,3,2,4,4,2,4,4,4,2,2,4,3,3,4,3,4,4,4,2,2,3,3,4,4,2,2,4,2,4,3.2,"$30,000 - $39,999",18774,30000,40000,35000,1.864280388
170,3,2,2,1,2,1,3,3,3,2,3,3,3,2,3,1,2,1,2,3,1,3,1,2,1,2,3,3,3,4,2.266666667,1,4,4,1,1,4,3,2,2,3,2,3,4,5,2,2,3,4,4,3,3,4,3,3,2,2,4,2,4,2,4,3,3,2,4,2,4,4,4,2,2,3,3,2,2.909090909,4,4,3,4,3,2,3,4,3,2,2,2,4,2,4,4,4,4,2,2,2,3,2,2,4,2,2,3,3,2,2.9,"$110,000-$119,999",29854,110000,120000,115000,3.852080123
171,2,1,2,1,1,2,1,1,3,1,1,2,1,2,3,1,1,1,1,3,1,1,3,1,1,2,3,1,4,3,1.7,2,3,3,2,1,3,3,5,3,1,1,1,4,4,1,1,4,5,2,1,4,4,4,5,1,1,3,4,3,1,4,4,4,4,5,2,3,5,4,2,5,4,4,1,2.977272727,5,3,1,2,4,4,3,3,3,4,2,5,5,2,4,5,3,5,3,4,3,4,5,4,1,3,2,3,5,1,3.366666667,"$50,000 - $59,999",14507,50000,60000,55000,3.791273178
172,2,2,3,2,2,2,1,2,2,1,1,2,1,2,4,1,2,2,2,2,1,2,1,2,1,2,2,1,3,2,1.833333333,5,2,5,1,3,3,5,4,4,4,5,1,5,2,3,5,4,4,2,3,1,4,5,4,3,4,1,5,2,4,2,4,4,5,3,5,2,4,2,3,3,4,4,3,3.431818182,4,4,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,3,4,4,3.8,"$120,000-$129,999",14507,120000,130000,125000,8.616529951
173,2,2,2,2,3,3,2,3,3,3,2,3,3,2,3,1,2,1,2,3,2,3,1,2,3,2,2,2,2,2,2.266666667,2,4,4,2,3,5,3,3,4,2,3,2,5,3,3,4,3,4,3,4,5,4,3,2,3,3,2,3,3,3,5,3,4,3,4,2,3,2,3,3,4,3,4,2,3.227272727,3,4,3,4,4,4,4,4,2,3,5,4,4,3,4,3,3,4,3,4,5,3,3,3,4,3,2,3,4,4,3.533333333,"$40,000 - $49,999",12486,40000,50000,45000,3.604036521
174,2,2,3,4,1,2,2,2,2,2,1,1,1,2,2,1,2,1,2,2,1,2,1,2,2,2,2,1,2,2,1.8,4,3,5,2,5,4,5,5,4,5,4,1,5,4,4,5,5,5,4,3,2,5,5,3,4,1,1,5,3,5,4,5,5,4,5,4,1,5,3,4,1,5,4,4,3.863636364,5,3,1,4,5,4,5,5,5,4,5,5,5,5,5,3,5,3,5,4,4,5,5,5,3,5,5,3,4,4,4.3,"$100,000 - $109,999",16072,1.00E+05,110000,105000,6.533101045
175,1,1,2,4,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1.3,5,1,5,1,4,2,5,5,5,5,3,1,5,1,3,4,1,5,1,5,1,5,5,5,4,3,1,4,1,3,1,5,5,5,2,5,1,5,1,3,4,4,4,1,3.295454545,5,3,3,4,4,4,4,4,4,4,3,2,4,4,4,4,4,3,4,4,3,4,4,3,3,4,4,3,2,4,3.633333333,"$40,000 - $49,999",24755,40000,50000,45000,1.817814583
176,2,3,3,3,1,3,3,3,2,2,3,3,3,2,2,1,2,2,2,3,3,3,2,3,2,3,2,3,2,2,2.433333333,4,3,4,4,3,4,4,3,3,4,4,4,4,3,3,3,4,2,3,3,3,4,2,3,4,4,3,4,4,4,4,3,3,3,3,3,4,4,3,4,3,4,4,3,3.454545455,4,2,2,2,3,2,4,4,4,3,2,2,2,4,4,4,4,3,3,2,2,2,3,4,2,4,3,4,2,2,2.933333333,"$50,000 - $59,999",29854,50000,60000,55000,1.842299189
177,3,3,3,4,2,2,3,3,3,2,2,3,2,3,2,1,3,1,3,2,1,3,1,2,1,3,2,2,3,2,2.333333333,2,5,4,4,5,4,4,3,4,5,3,2,4,4,5,3,4,4,4,4,5,2,2,4,4,4,2,4,4,4,4,3,4,4,2,2,2,4,2,5,3,4,4,4,3.613636364,4,2,2,2,5,4,4,4,4,3,4,1,4,4,5,3,4,2,4,4,5,4,4,5,3,5,4,4,5,3,3.7,"$60,000 - $69,999",12486,60000,70000,65000,5.20583053
178,1,1,3,3,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,3,1,4,3,1.5,5,1,5,1,5,4,5,5,5,5,5,1,5,1,4,5,5,5,1,5,1,5,5,5,5,5,1,5,1,5,1,5,5,5,1,5,1,5,1,5,1,5,5,5,3.772727273,5,5,2,2,4,5,5,5,5,4,4,5,4,4,4,4,5,4,4,5,5,4,4,4,2,4,4,4,5,4,4.166666667,"$90,000 - $99,999",11511,90000,1.00E+05,95000,8.252975415
179,1,2,4,2,1,4,1,1,2,3,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1,1,3,1,1,3,1.633333333,5,2,5,5,5,4,5,1,1,5,2,1,5,5,5,3,4,1,5,5,1,5,2,1,4,5,4,5,5,5,4,4,5,1,5,1,1,5,4,4,1,4,1,5,3.545454545,5,4,3,5,5,4,4,5,4,1,1,5,5,4,4,4,4,5,2,5,4,2,3,4,2,4,2,4,2,1,3.566666667,"$100,000 - $109,999",24755,1.00E+05,110000,105000,4.24156736
180,2,1,3,3,1,1,2,1,2,2,1,1,1,1,2,1,2,1,2,3,1,2,1,2,2,1,1,2,2,2,1.633333333,5,1,5,1,5,3,5,5,5,5,3,1,5,1,3,4,5,5,3,5,4,5,5,5,5,3,1,5,4,4,4,5,5,5,3,5,3,5,2,5,2,5,5,5,3.977272727,4,1,5,5,4,5,4,3,5,5,5,5,5,5,5,5,5,1,5,5,5,5,3,3,3,4,5,2,3,5,4.166666667,"$50,000 - $59,999",12486,50000,60000,55000,4.404933526
181,1,1,3,3,1,1,2,1,1,1,1,1,1,1,4,1,1,2,1,2,1,2,1,1,1,1,2,1,3,2,1.5,2,1,5,2,4,4,5,4,5,4,4,1,5,1,4,2,5,5,1,4,4,2,5,5,4,2,1,5,1,4,4,5,5,5,4,2,1,5,1,4,2,5,5,2,3.431818182,5,5,2,2,5,4,5,4,5,1,2,4,5,2,4,5,4,4,5,5,4,5,2,4,4,4,3,4,2,4,3.8,"$30,000 - $39,999",18774,30000,40000,35000,1.864280388
182,3,3,3,2,2,1,2,2,2,4,2,2,3,3,2,1,1,2,2,2,1,3,2,1,3,3,3,2,2,3,2.233333333,1,4,4,4,5,5,4,2,3,4,2,4,5,4,4,1,3,2,4,5,5,4,2,2,4,1,4,3,5,4,5,2,2,2,4,1,4,3,4,5,2,2,2,3,3.295454545,4,3,2,3,4,2,4,3,4,1,2,2,1,2,2,2,4,4,4,1,2,4,3,2,2,4,2,4,4,3,2.8,"$50,000 - $59,999",16072,50000,60000,55000,3.422100548
183,4,2,2,1,2,2,4,1,3,4,4,1,4,2,2,2,1,2,2,1,1,2,4,2,2,2,2,3,2,2,2.266666667,4,4,4,2,5,4,3,2,4,5,2,3,4,4,4,2,4,2,4,4,4,4,2,4,4,2,4,2,4,3,4,2,4,4,2,3,4,2,2,5,2,4,2,4,3.340909091,4,2,3,4,4,4,4,4,4,4,2,4,2,4,4,2,4,4,4,4,4,2,4,4,2,4,3,4,2,4,3.466666667,"$60,000 - $69,999",29854,60000,70000,65000,2.177262678
184,1,1,3,4,1,2,1,1,2,3,1,1,4,1,2,1,1,1,1,2,1,1,2,1,1,2,4,1,2,3,1.733333333,3,1,5,3,4,2,5,5,4,5,4,1,5,4,4,4,3,5,4,3,3,5,5,3,4,5,1,4,2,4,2,5,5,5,4,5,1,5,4,4,1,5,1,3,3.636363636,5,5,2,3,5,4,5,5,5,5,4,5,5,3,4,2,5,3,5,4,5,5,3,3,4,3,4,4,5,4,4.133333333,"$50,000 - $59,999",18774,50000,60000,55000,2.929583466
185,2,2,3,2,1,3,3,3,2,3,3,3,2,2,4,3,2,3,2,2,2,2,1,1,2,1,2,3,2,3,2.3,4,4,5,4,2,2,4,4,3,2,1,2,5,4,1,3,4,4,5,2,3,5,2,2,2,3,1,4,5,1,4,4,3,2,5,3,1,2,5,1,1,5,4,1,3.045454545,5,4,2,4,4,3,4,4,4,3,4,4,4,3,4,2,3,4,3,3,2,4,4,4,2,2,4,4,4,3,3.466666667,"$30,000 - $39,999",24755,30000,40000,35000,1.413855787
186,2,1,2,4,2,2,1,2,3,3,2,2,1,1,3,1,2,2,2,2,1,1,3,1,1,2,2,2,2,3,1.933333333,4,2,5,1,3,4,4,5,4,4,4,1,5,3,4,3,3,5,3,3,2,4,4,5,3,3,1,4,1,3,3,5,4,4,3,5,1,4,2,3,4,5,3,1,3.340909091,4,4,3,4,4,4,4,4,4,4,2,5,5,3,4,2,4,3,4,3,4,3,5,4,3,4,3,3,4,3,3.666666667,"$60,000 - $69,999",14507,60000,70000,65000,4.480595575
187,3,2,1,2,1,4,3,2,3,3,1,2,2,2,2,2,1,1,2,2,2,1,1,2,1,1,2,2,3,2,1.933333333,3,1,5,3,5,3,5,3,5,5,5,1,5,4,5,5,5,5,1,5,3,5,5,3,5,2,2,5,2,5,3,5,5,5,3,4,1,5,2,5,1,5,3,4,3.795454545,5,4,3,3,5,4,5,5,4,5,5,3,5,4,5,3,5,3,4,5,4,5,5,5,3,5,5,4,4,5,4.333333333,NA,NA,NA,NA,NA,NA
188,2,3,3,1,4,3,3,2,3,2,3,2,3,4,2,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2.733333333,4,3,1,4,4,1,4,4,2,5,4,1,4,1,3,4,3,3,2,4,3,1,5,5,2,2,2,3,2,4,3,3,3,4,4,3,1,3,2,4,2,4,4,2,3,2,3,2,3,3,1,3,1,5,5,4,3,4,3,2,4,2,4,4,5,4,2,2,3,2,4,1,2,3,3,2.966666667,"$60,000 - $69,999",12486,60000,70000,65000,5.20583053
189,3,1,2,2,1,1,3,2,3,4,1,1,4,1,3,1,1,1,1,2,1,2,2,1,2,1,3,2,3,3,1.933333333,2,3,3,5,3,5,4,5,1,5,1,3,4,4,3,2,4,3,4,4,5,5,2,3,2,3,3,3,3,4,5,5,4,3,4,2,3,2,2,3,2,4,4,2,3.318181818,4,3,2,2,3,3,2,4,3,2,3,3,3,2,2,3,4,3,3,4,3,3,4,4,3,2,3,4,3,2,2.966666667,"$30,000 - $39,999",16072,30000,40000,35000,2.177700348
190,1,3,4,2,3,4,3,3,3,3,2,2,1,3,2,4,4,4,3,2,4,2,4,3,4,3,3,4,1,2,2.866666667,5,2,4,4,5,4,5,5,4,5,5,1,4,4,5,4,5,1,4,5,5,4,1,5,4,2,2,4,4,5,5,4,4,5,4,4,5,4,5,5,4,5,4,5,4.090909091,4,1,2,1,4,2,5,4,5,2,2,1,2,5,4,5,4,1,4,1,2,1,4,5,2,5,4,5,2,1,3,"$50,000 - $59,999",18774,50000,60000,55000,2.929583466
191,2,3,3,3,2,2,2,2,2,2,3,2,2,4,1,1,4,3,2,2,3,2,3,3,4,3,2,3,2,1,2.433333333,5,5,5,1,4,3,4,1,4,4,4,2,4,2,4,4,4,4,5,4,4,4,4,3,5,4,3,4,4,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,4,5,1,1,1,5,1,5,5,5,1,1,1,3,5,5,5,5,2,4,1,2,2,5,4,2,5,5,4,1,2,3.133333333,"$140,000-$149,999",24755,140000,150000,145000,5.857402545
192,2,2,2,4,1,2,1,1,2,3,1,3,1,2,3,2,2,1,2,2,2,2,1,2,1,2,3,1,2,3,1.933333333,4,2,5,3,4,3,4,4,5,4,4,1,5,2,3,4,4,5,2,2,3,4,5,5,4,4,2,5,2,4,3,4,5,5,3,5,3,4,4,3,1,4,4,4,3.636363636,4,3,2,4,4,2,4,5,4,4,5,2,4,3,4,4,4,4,3,2,4,4,4,4,4,4,3,3,4,5,3.666666667,"$30,000 - $39,999",16072,30000,40000,35000,2.177700348
193,2,3,3,3,1,2,4,3,2,4,1,2,4,2,3,1,3,1,2,3,2,2,1,1,2,1,3,1,4,2,2.266666667,4,4,5,1,3,3,5,5,2,4,2,1,3,4,3,3,4,5,4,3,2,5,5,4,1,3,2,4,3,3,1,5,5,2,3,4,2,4,3,3,3,4,5,2,3.318181818,4,4,2,4,4,4,3,4,4,5,2,5,5,3,4,4,4,1,4,3,4,4,2,3,2,1,4,4,4,2,3.433333333,"$20,000 - $29,999",18774,20000,30000,25000,1.331628848
194,1,2,3,2,1,4,1,2,2,4,1,1,1,2,2,1,1,2,1,1,1,1,1,2,1,3,2,1,1,1,1.633333333,3,4,5,4,5,4,4,3,1,5,2,1,5,5,3,2,4,5,5,5,3,2,5,2,4,4,2,5,4,5,1,2,5,2,2,2,4,5,2,4,1,4,4,5,3.5,5,4,4,5,4,3,4,4,4,4,4,5,3,4,4,3,4,5,5,4,4,4,4,4,5,4,4,4,4,5,4.133333333,NA,NA,NA,NA,NA,NA
195,2,1,3,4,1,3,3,2,2,3,1,2,4,1,4,1,2,1,2,3,1,3,1,1,1,1,2,1,1,3,2,3,2,4,1,3,3,3,5,3,4,1,1,4,2,3,3,4,5,4,5,4,5,3,4,4,2,1,4,1,4,4,5,3,4,3,3,1,4,3,4,4,4,3,3,3.25,4,3,2,2,4,3,4,4,5,4,3,5,4,4,4,3,4,3,4,4,5,4,4,4,3,2,3,2,4,5,3.633333333,"$10,000 - $19,999",12486,10000,20000,5000,0.400448502
196,2,1,3,2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,2,3,1,2,2,2,1,2,2,2,3,3,2.033333333,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"$20,000 - $29,999",12486,20000,30000,25000,2.002242512
197,3,2,2,2,2,2,3,2,2,2,2,3,2,2,2,3,3,2,2,2,3,2,3,3,2,3,3,3,2,2,2.366666667,3,3,4,3,3,4,4,3,3,3,4,3,3,3,3,2,3,2,3,3,4,3,3,2,3,4,3,3,3,4,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3.136363636,4,4,2,3,2,3,3,3,3,3,2,3,4,3,3,4,4,2,3,3,3,3,3,3,3,3,2,3,3,3,3,NA,NA,NA,NA,NA,NA
198,2,2,3,2,2,3,1,2,3,1,1,1,1,2,1,2,2,1,2,1,2,2,2,1,1,4,2,1,2,2,1.8,5,2,4,1,5,2,5,2,4,5,4,1,5,2,5,5,5,4,4,5,2,5,4,4,5,4,1,5,1,5,1,5,4,4,3,5,1,5,2,5,1,5,4,4,3.636363636,5,4,4,5,5,4,5,5,5,5,5,4,4,5,5,4,4,2,5,5,5,5,4,5,4,5,5,4,3,5,4.5,"$70,000 - $79,999",12486,70000,80000,75000,6.006727535
199,2,2,2,1,1,1,1,2,3,1,1,3,2,2,2,1,1,1,2,3,1,2,2,1,2,1,2,1,1,2,1.633333333,1,1,5,4,4,4,4,3,2,4,2,1,5,4,3,3,5,2,5,3,4,2,4,4,4,2,2,5,4,2,4,4,4,3,1,3,4,3,5,4,2,3,3,1,3.227272727,5,3,2,2,4,4,3,5,5,3,1,2,4,3,4,3,4,3,4,3,3,4,4,5,3,4,4,5,4,4,3.566666667,"$20,000 - $29,999",12486,20000,30000,25000,2.002242512
200,2,1,3,3,1,2,2,1,1,2,1,2,3,1,1,1,2,3,2,2,1,1,1,2,2,2,1,1,1,2,1.666666667,4,2,4,2,4,4,4,4,4,5,4,1,5,3,5,4,4,3,3,4,4,4,5,4,4,1,2,4,2,5,4,5,4,4,3,4,2,5,4,5,5,5,2,4,3.727272727,5,4,3,4,5,5,4,5,5,5,5,2,4,4,4,5,5,2,5,2,4,4,5,4,2,5,4,4,4,4,4.1,"$90,000 - $99,999",18774,90000,1.00E+05,95000,5.060189624
201,2,2,3,3,2,3,2,3,2,2,3,3,3,3,3,2,2,3,2,2,2,2,3,2,3,2,3,3,2,3,2.5,3,3,2,3,4,4,3,4,3,3,3,4,3,3,4,4,4,2,4,3,4,3,3,3,4,4,4,3,3,3,4,3,4,4,3,4,4,3,3,3,4,4,3,4,3.409090909,4,3,2,2,3,2,4,4,3,2,2,3,2,4,4,4,4,3,4,2,2,3,4,4,2,3,4,4,2,3,3.066666667,"$150,000-$159,999",18774,150000,160000,155000,8.25609886
202,2,2,3,3,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,3,1,2,1,2,1,2,2,1,2,2,1.866666667,5,3,4,1,3,1,5,3,4,3,4,3,4,3,3,4,4,4,2,4,2,4,5,4,4,4,1,4,2,3,1,5,5,5,2,4,1,4,2,4,3,4,4,2,3.318181818,5,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,3,3,4,3.866666667,"$100,000 - $109,999",16072,1.00E+05,110000,105000,6.533101045
203,1,1,4,3,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,2,3,2,1,1,3,1,1,1,1.466666667,5,2,5,1,5,4,5,4,4,5,5,1,5,2,4,5,5,5,1,4,3,5,5,5,5,5,1,5,2,5,2,5,5,5,5,5,1,5,1,4,2,5,4,4,3.886363636,5,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,4.8,"$90,000 - $99,999",18774,90000,1.00E+05,95000,5.060189624
204,1,2,3,3,1,1,2,2,1,1,1,1,2,1,2,1,2,2,2,2,1,3,1,1,1,1,1,1,1,1,1.5,3,3,5,1,5,3,3,3,4,5,4,1,5,1,4,4,3,3,4,5,3,5,3,3,5,1,3,4,4,5,4,5,4,4,3,4,1,4,5,5,1,5,4,5,3.613636364,4,5,3,3,5,3,5,5,5,2,5,3,3,4,4,2,5,4,5,3,3,2,3,3,4,4,3,2,2,5,3.633333333,"$50,000 - $59,999",18774,50000,60000,55000,2.929583466
205,2,1,3,3,1,2,2,2,2,3,1,3,2,1,3,1,2,2,2,2,1,2,1,1,1,2,3,1,3,3,1.933333333,4,2,5,1,4,4,5,4,4,4,2,2,5,2,4,4,4,5,1,4,4,4,4,4,4,5,2,5,2,4,2,5,5,5,2,4,2,4,2,4,4,5,4,4,3.636363636,1,5,5,4,4,5,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,3,4,4,4,4,3,4,4,3.866666667,"$80,000 - $89,999",16072,80000,90000,85000,5.288700846
206,3,2,3,3,2,2,2,2,2,3,3,2,3,2,4,1,2,2,2,2,1,2,2,1,1,2,2,3,3,2,2.2,4,2,4,1,3,4,5,4,3,4,3,1,5,3,2,3,5,5,1,2,3,4,5,4,1,2,2,4,1,3,2,5,4,4,2,4,1,4,2,3,4,4,4,1,3.113636364,4,3,2,2,4,3,4,3,3,3,2,4,4,4,4,4,4,3,4,4,3,4,4,3,3,4,3,3,4,2,3.366666667,"$30,000 - $39,999",11511,30000,40000,35000,3.04056989
207,3,1,2,2,1,3,2,1,4,4,2,3,4,2,3,2,3,2,1,3,1,2,3,2,2,1,3,1,2,2,2.233333333,4,1,4,2,5,4,5,2,4,2,3,1,5,2,5,4,5,4,4,5,1,5,2,4,4,2,1,3,3,4,4,5,4,4,5,5,2,2,4,5,1,5,2,2,3.409090909,5,4,1,2,4,2,3,4,3,4,5,2,3,2,4,4,4,4,4,2,5,5,5,4,2,3,4,4,4,4,3.533333333,"$50,000 - $59,999",16072,50000,60000,55000,3.422100548
208,2,2,3,2,1,3,2,2,3,3,2,3,2,2,2,2,2,2,2,3,2,2,1,2,1,1,1,2,1,1,1.966666667,5,2,5,4,5,3,4,2,4,5,2,4,5,4,5,4,4,2,4,5,2,4,4,3,4,4,2,4,4,5,4,4,4,4,3,4,2,4,4,4,2,4,2,4,3.704545455,5,4,2,4,5,2,2,4,4,2,5,2,4,2,4,2,4,4,4,2,4,4,2,4,4,4,2,4,4,3,3.4,"$40,000 - $49,999",24755,40000,50000,45000,1.817814583
209,3,1,3,4,1,2,3,3,2,3,1,3,1,1,3,2,1,1,2,2,1,2,1,1,1,1,2,1,3,3,1.933333333,2,1,5,1,4,4,5,5,4,4,4,1,5,1,3,4,4,5,2,4,4,5,5,4,4,3,2,5,1,4,4,5,5,4,4,3,1,4,1,4,4,5,5,2,3.545454545,4,4,3,2,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,2,3,4,4,4,4,3.7,"$100,000 - $109,999",16072,1.00E+05,110000,105000,6.533101045
210,1,1,3,3,2,1,4,1,2,4,4,2,2,2,4,1,2,3,2,2,2,2,1,1,3,1,4,4,2,4,2.333333333,1,4,5,4,3,5,5,4,4,2,5,1,5,4,2,5,4,5,5,4,5,5,5,2,2,1,1,5,4,1,5,5,5,5,5,1,4,5,1,3,5,4,5,1,3.681818182,4,2,2,2,4,1,4,4,4,4,5,3,5,2,3,2,4,2,4,2,3,2,3,2,2,3,2,5,3,2,3,"$20,000 - $29,999",14507,20000,30000,25000,1.72330599
211,2,4,2,3,4,4,2,1,2,1,4,2,2,3,1,3,3,4,3,1,3,4,3,4,3,4,4,3,1,2,2.733333333,5,4,5,5,5,5,4,1,4,4,4,5,4,5,4,5,4,1,4,5,5,4,1,4,4,4,5,4,5,4,4,5,4,5,4,5,4,5,5,4,4,5,2,5,4.181818182,4,2,1,2,5,2,5,4,5,2,1,2,1,4,5,4,5,2,5,2,2,1,4,5,2,5,4,5,2,1,3.133333333,"$250,000-$299,999",18774,250000,3.00E+05,275000,14.64791733
212,3,1,2,1,1,3,2,2,2,2,3,3,2,2,4,1,2,3,1,3,1,3,2,1,1,2,4,2,1,2,2.066666667,2,4,4,2,3,5,4,4,3,4,3,2,5,4,4,3,3,4,4,3,4,4,4,4,3,2,3,4,3,4,4,4,4,4,3,4,2,4,4,2,5,5,4,4,3.590909091,5,3,2,2,3,4,4,4,4,2,3,4,4,4,4,3,4,2,4,4,2,3,4,3,2,4,3,3,4,2,3.3,"$110,000-$119,999",14507,110000,120000,115000,7.927207555
213,2,1,3,2,1,1,1,1,1,1,2,1,1,2,1,2,2,2,2,1,2,2,2,1,1,2,1,1,3,1,1.533333333,2,4,4,3,3,4,4,5,5,5,2,1,5,3,4,3,4,4,1,1,4,3,5,5,4,5,3,4,4,2,4,4,5,5,4,3,4,5,2,5,5,4,4,2,3.681818182,5,5,3,4,5,4,5,5,5,5,5,4,5,5,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,4.4,"$150,000-$159,999",18774,150000,160000,155000,8.25609886
214,2,1,2,2,1,2,2,2,2,3,2,2,2,1,3,1,2,2,2,2,2,2,2,2,1,2,2,2,3,2,1.933333333,4,3,4,3,4,3,4,3,4,4,4,3,4,3,4,3,4,3,3,4,3,4,3,4,3,4,3,4,3,4,3,4,4,4,4,4,3,4,3,3,3,4,3,4,3.545454545,4,3,2,3,4,3,4,4,3,3,3,3,3,3,4,3,4,3,4,3,3,3,3,3,3,4,3,4,3,3,3.266666667,"$70,000 - $79,999",16072,70000,80000,75000,4.666500747
215,2,1,3,4,1,2,1,1,2,3,1,1,1,1,3,1,2,2,2,1,1,1,1,2,1,2,3,1,2,2,1.7,4,1,5,1,5,4,5,5,5,5,4,1,5,1,5,4,5,5,1,5,3,2,5,5,5,4,2,5,4,4,4,5,5,5,2,5,1,5,1,5,2,5,5,1,3.772727273,5,5,4,4,4,5,4,4,4,5,5,5,5,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4.166666667,"$130,000-$139,999",14507,130000,140000,135000,9.305852347
216,2,2,3,1,2,3,2,2,3,4,4,2,2,2,2,3,1,3,2,2,3,2,3,3,3,3,3,4,2,3,2.533333333,2,2,4,5,4,4,5,3,2,4,3,1,4,4,4,2,5,2,4,4,4,5,4,1,5,1,1,4,4,4,5,5,4,4,1,3,2,4,4,4,4,4,2,4,3.431818182,4,2,2,2,4,2,4,4,4,3,4,1,2,4,4,4,4,2,4,2,2,4,4,4,5,4,4,4,4,4,3.366666667,"$30,000 - $39,999",18774,30000,40000,35000,1.864280388
